domain,NS,IP
AUTHOR,dnsd.nic.AUTHOR.,156.154.103.3
AUTHOR,dns3.nic.AUTHOR.,213.248.222.60
AUTHOR,dns4.nic.AUTHOR.,43.230.50.60
AUTHOR,dns1.nic.AUTHOR.,213.248.218.60
BABY,b.nic.BABY.,185.24.64.101
BABY,c.nic.BABY.,212.18.248.101
BABY,d.nic.BABY.,212.18.249.101
BABY,a.nic.BABY.,194.169.218.101
AX,ns1.aland.net.,194.112.0.1
AX,ns2.aland.net.,194.112.0.5
AX,ns3.alcom.fi.,82.199.186.130
AX,ns4.alcom.fi.,82.199.184.194
AW,ns4.dns.AW.,185.159.199.201
AW,ns1.dns.AW.,194.0.28.2
AW,aw02.setarnet.AW.,201.229.0.27
AW,ns3.dns.AW.,194.0.25.25
AW,aw01.setarnet.AW.,201.229.0.26
BARCELONA,anycast23.irondns.net.,195.253.65.11
BARCELONA,anycast9.irondns.net.,195.253.64.11
BARCELONA,anycast24.irondns.net.,195.253.65.12
BARCELONA,anycast10.irondns.net.,195.253.64.12
AZURE,dns1.nic.AZURE.,213.248.219.129
AZURE,dnsa.nic.AZURE.,156.154.100.3
AZURE,dns3.nic.AZURE.,213.248.223.129
AZURE,dnsc.nic.AZURE.,156.154.102.3
AZURE,dns2.nic.AZURE.,103.49.83.129
AZURE,dns4.nic.AZURE.,43.230.51.129
AZURE,dnsb.nic.AZURE.,156.154.101.3
AZURE,dnsd.nic.AZURE.,156.154.103.3
BANAMEX,ns2.dns.nic.BANAMEX.,156.154.145.21
BANAMEX,ns3.dns.nic.BANAMEX.,156.154.159.21
BANAMEX,a.nic.BANAMEX.,37.209.192.9
BANAMEX,c.nic.BANAMEX.,37.209.196.9
BANAMEX,b.nic.BANAMEX.,37.209.194.9
BANAMEX,ns1.dns.nic.BANAMEX.,156.154.144.21
BANK,w.nic.BANK.,37.209.192.10
BANK,x.nic.BANK.,37.209.194.10
BANK,y.nic.BANK.,37.209.196.10
BANK,f.nic.BANK.,156.154.105.27
BANK,d.nic.BANK.,156.154.103.27
BANK,e.nic.BANK.,156.154.104.27
BAR,ns01.trs-dns.net.,64.96.2.1
BAR,ns01.trs-dns.info.,185.159.198.3
BAR,ns01.trs-dns.org.,185.159.197.3
BAR,ns01.trs-dns.com.,64.96.1.1
